Name,Description,Years lived,Name,Description,Years lived,Name,Description,Years lived
Donald Wills Douglas,"Sr., American businessman, founded the Douglas Aircraft Company",89,Lowell Thomas,American journalist and author,89,Gertrude Baines,American super-centenarian,115
Jeanne Hébuterne,French painter and author,22,Leo Robin,American composer and songwriter,84,Pier Giorgio Frassati,Italian activist,24
Mickey Cochrane,American baseball player and manager,59,Harold Eugene Edgerton,American engineer and academic,87,Kurt Georg Kiesinger,"German lawyer and politician, 3rd Chancellor of Germany",84
Marcel-Marie Desmarais,"Canadian preacher, missionary, and author",86,William M. Branham,American minister and theologian,56,Hermann Lang,German race car driver,78
Shannon Boyd-Bailey McCune,American geographer and academic,80,Tadeusz Kantor,"Polish director, painter, and set designer",75,Phil Leeds,American actor,82
Leonora Carrington,English-Mexican painter and author,94,Alfredo Ovando Candía,"Bolivian general and politician, 56th President of Bolivia",64,Georgios Mylonas,"Greek politician, 11th Greek Minister of Culture",79
Edmond H. Fischer,"Chinese-American biochemist and academic, Nobel Priz",1920 -,Wilbur Thompson,American shot putter,92,Gordon Chater,English-Australian comedian and actor,77
Than Tun,Burmese historian,82,Sergio Franchi,Italian-American singer and actor,64,Gil Kane,Latvian-American author and illustrator,74
Randy Weston,American jazz pianist an,1926 -,Gerry Mulligan,"American saxophonist, clarinet player, and composer",69,Joi Lansing,"American model, actress and nightclub singer",44
Willis Hall,English playwright and author,76,André Previn,"American pianist, composer, an",1929 -,Ram Dass,American author an,1931 -
Suchitra Sen,Bangladeshi-Indian actress,83,Connie Broden,Canadian ice hockey player,81,Helmut Griem,German actor and director,72
Tom C. Korologos,"American journalist and diplomat, United States Ambassador t",1933 -,Eduardo Malapit,"American lawyer and politician, Mayor of Kauai",74,Enrique Álvarez Félix,Mexican actor,62
Guy Peellaert,"Belgian painter, illustrator, and photographer",74,Douglas Hill,Canadian author and critic,72,Helen Berman,Dutch-Israeli painter an,1936 -
Merle Haggard,American singer-songwriter and guitarist (The Strangers and The Buckaroos),79,Tom Veivers,Australian cricketer an,1937 -,Billy Dee Williams,"American actor, singer, an",1937 -
Roy Thinnes,America,1938 -,André Ouellet,"Canadian lawyer and politician, 1st Canadian Minister of Foreig",1939 -,John Sculley,"American businessman, co-founded Zet",1939 -
Pedro Armendáriz,"Jr., Mexican-American actor and producer",71,Christopher Allsopp,English economist an,1941 -,Phil Austin,"American comedian, actor, and screenwriter",74
Don Prudhomme,American race car driver an,1941 -,Gheorghe Zamfir,Romanian flute player an,1941 -,Barry Levinson,"American actor, director, producer, an",1942 -
Roger Cook,New Zealand-English journalist an,1943 -,Ian MacRae,New Zealand rugb,1943 -,Mitchell Melton,American lawyer and politician,70
Felicity Palmer,English operati,1944 -,Rodney Bickerstaffe,English trade unio,1945 -,Peter Hill,Englis,1945 -
John Ratzenberger,American actor an,1947 -,André Weinfeld,"French-American director, producer, an",1947 -,Mike Worboys,English mathematician and compute,1947 -
Patrick Hernandez,Frenc,1949 -,Horst Ludwig Störmer,"German physicist and academic, Nobel Priz",1949 -,Claire Morissette,Canadian cycling activist,57
Bert Blyleven,Dutch-American baseball player an,1951 -,Jean-Marc Boivin,"French skier, mountaineer, and pilot",39,Pascal Rogé,Frenc,1951 -
Udo Dirkschneider,German singer-songwriter (Accept an,1952 -,Marilu Henner,American actress an,1952 -,Michel Larocque,Canadian ice hockey player and manager,40
Christopher Franke,German-American drummer and songwriter (Tangerine Dream and Agitatio,1953 -,Rob Epstein,American director an,1955 -,Michael Rooker,"American actor, director, an",1955 -
Normand Corbeil,Canadian composer,57,Mudassar Nazar,Pakistan,1956 -,Lee Scott,Englis,1956 -
Dilip Vengsarkar,Indian cricketer an,1956 -,Giorgio Damilano,Italian race walker an,1957 -,Maurizio Damilano,Italian race walker an,1957 -
Paolo Nespoli,"Italian soldier, engineer, an",1957 -,Graeme Base,Australian author an,1958 -,Gail Shea,Canadia,1959 -
Warren Haynes,"American singer-songwriter and guitarist (The Allman Brothers Band, Gov't Mule, and Th",1960 -,John Pizzarelli,American singer-songwriter an,1960 -,Rory Bremner,Scottish actor an,1961 -
Iris Häussler,German sculptor an,1962 -,Marco Schällibaum,"Swiss footballer, coach, an",1962 -,Rafael Correa,"Ecuadorian economist and politician, 54th President o",1963 -
Phil Gayle,Englis,1964 -,Black Francis,American singer-songwriter and guitarist (Pixies and Gran,1965 -,Sterling Sharpe,American football player an,1965 -
Young Man Kang,South Korean-American director an,1966 -,Julian Anderson,English composer an,1967 -,Kathleen Barr,Canadian voice actress an,1967 -
Jonathan Firth,Englis,1967 -,Archon Fung,"American political scientist, author, an",1968 -,Affonso Giaffone,Brazilian race ca,1968 -
Jack Canfora,"American actor, singer, an",1969 -,Bison Dele,American basketball player,33,Philipp Peter,Austrian race ca,1969 -
Louie Spence,English dancer an,1969 -,Spencer Wells,American geneticist an,1969 -,Olaf Kölzig,South African-German ice hockey player an,1970 -
Huang Xiaomin,Chines,1970 -,Lou Merloni,American baseball player and radi,1971 -,Anders Thomas Jensen,Danish director an,1972 -
Donnie Edwards,American footbal,1973 -,Randall Godfrey,American footbal,1973 -,Rie Miyazawa,Japanese model an,1973 -
Zach Braff,"American actor, director, producer, an",1975 -,Hal Gill,American ice hocke,1975 -,Candace Cameron Bure,American actress and talk sho,1976 -
Chris Hoke,American footbal,1976 -,Georg Hólm,Icelandic bass player (Sigu,1976 -,Hirotada Ototake,Japanese author an,1976 -
Andy Phillips,American baseball player an,1977 -,Imani Coppola,American singer-songwriter and violinist (Littl,1978 -,Tim Hasselbeck,American football player an,1978 -
Martín Méndez,Uruguayan bass player and songwrite,1978 -,Blaine Neal,American basebal,1978 -,Igor Semshov,Russia,1978 -
Tommi Evilä,Finnish lon,1980 -,Robert Earnshaw,Wels,1981 -,Jeff Faine,American footbal,1981 -
Alex Suarez,American bass player (Cobra Starship and This Is Iv,1981 -,Michael Guy Chislett,"Australian-American guitarist, songwriter, an",1982 -,Hérculez Gómez,American socce,1982 -
Travis Moen,Canadian ice hocke,1982 -,Diora Baird,American model an,1983 -,Mehdi Ballouchy,Morocca,1983 -
Mitsuru Nagata,Japanes,1983 -,Remi Nicole,English singer-songwriter an,1983 -,Katie Weatherston,Canadian ice hocke,1983 -
Michaël Ciani,Frenc,1984 -,Siboniso Gaxa,South Africa,1984 -,Clarke MacArthur,Canadian ice hocke,1985 -
Sinqua Walls,American basketball player an,1985 -,Nikolas Asprogenis,Cyprio,1986 -,Aaron Curry,American footbal,1986 -
Ryota Moriwaki,Japanes,1986 -,Tara Osseck,"American model, Miss Missour",1986 -,Benjamin Corgnet,Frenc,1987 -
Juan Adriel Ochoa,Mexica,1987 -,Levi Porter,Englis,1987 -,Hilary Rhoda,America,1987 -
Leigh Adams,Australia,1988 -,Melisa Cantiveros,Filipin,1988 -,Daniele Gasparetto,Italia,1988 -
Fabrice Muamba,Congolese-Englis,1988 -,Ivonne Orsini,"Puerto Rican-American model and television host, Miss World Puerto Ric",1988 -,Rigard van Klooster,Dutch cyclist and spee,1989 -
Charlie McDermott,America,1990 -,Andrei Veis,Estonia,1990 -,Adrián Alonso,Mexica,1994 -
Ryutaro Morimoto,Japanese actor and singer (Hey! Say,1995 -,Rina Katsuta,Japanese singer (S/mileage an,1998 -,Peyton List,American tee,1998 -
John,"3rd Earl of Kent, English nobleman",22,Francis Xavier,"Spanish missionary and saint, co-founded the Society of Jesus",46,Tobias Stimmer,Swiss painter and illustrator,45
François de Neufville,"duc de Villeroy, French general",86,John Sheffield,"1st Duke of Buckingham and Normanby, English poet and politician, Lord President of the Council",73,Pope Clement XII,,88
Hugh Blair,Scottish minister and author,82,Michel Adanson,"French botanist, entomologist, and mycologist",79,Domenico Dragonetti,Italian bassist and composer,83
Charles Fourier,French philosopher and author,65,William Ellery Channing,American preacher and theologian,62,James Curtiss,"American journalist and politician, 11th Mayor of Chicago",56
Hasan Tahsini,"Albanian astronomer, mathematician, and philosopher",70,Randall Davidson,Scottish archbishop,82,Prince Leopold,"Duke of Albany,",31
Will Keith Kellogg,"American businessman, founded the Kellogg Company",91,Holger Pedersen,Danish linguist and academic,86,Gustav Landauer,German theorist and activist,49
John McGraw,American baseball player and manager,61,Frederick Carl Frieseke,German-American painter,65,Fay Moulton,"American sprinter, football player, coach, and lawyer",69
Kurt von Schleicher,"German general and politician, 23rd Chancellor of Germany",52,Gino Severini,Italian-French painter and author,83,Clement Smoot,American golfer,79
Gabriela Mistral,"Chilean poet and educator, Nobel Prize laureate",68,Paul Berth,Danish footballer,79,Marjory Stoneman Douglas,American journalist and activist,108
Allen Dulles,"American lawyer and diplomat, 5th Director of Central Intelligence",76,John Flannagan,American soldier and sculptor,47,Margarete Schön,German actress,90
Erich Löwenhardt,Polish-German lieutenant and pilot,21,Walter Winchell,American journalist and radio host,75,Robert Casadesus,French pianist and composer,73
Tebbs Lloyd Johnson,English race walker,84,Eduard Eelma,Estonian footballer,39,M. Balasundaram,Sri Lankan lawyer and politician,62
Roland Wilson,Australian economist and statistician,92,Percy Faith,"Canadian composer, conductor, and bandleader",68,Robert Charroux,French author and critic,69
Hervé Bazin,French author and poet,85,Louise Currie,American actress,100,Charles Vanik,"American soldier, judge, and politician",94
Stanley Adams,American actor and screenwriter,62,Billie Holiday,American singer-songwriter and actress,44,Henry Kuttner,American author,43
R. G. Armstrong,American actor and playwright,95,Bobby Doerr,American baseball player an,1918 -,Roger Lemelin,Canadian author and screenwriter,73
Ravi Shankar,Indian-American sitar player and composer,92,Feza Gürsey,Turkish mathematician and physicist,71,Mongo Santamaría,Cuban-American drummer,81
Chaturanan Mishra,Indian trade union leader and politician,86,Jan van Roessel,Dutch footballer,86,Prem Nazir,Indian actor,63
Leonid Shcherbakov,Russian tripl,1927 -,James Garner,"American actor, singer, and producer",86,Alan J. Pakula,"American director, producer, and screenwriter",70
Bob Denard,French soldier,78,Joe Gallo,American gangster,43,Jane Priestman,English interio,1930 -
Andrew Sachs,German-English actor an,1930 -,Roger Vergé,French chef and restaurateur,85,Donald Barthelme,American short story writer and novelist,58
Cal Smith,American singer and guitarist,81,Wayne Rogers,"American actor, investor, and producer",82,Sakıp Sabancı,Turkish businessman and philanthropist,71
Bobby Bare,American singer-songwriter an,1935 -,Hodding Carter III,"American journalist and politician, Assistant Secretary of State for Publi",1935 -,Cynthia Lynn,Latvian-American actress,77
Jerry Brown,"American lawyer and politician, 34th and 39th Governor o",1938 -,Spencer Dryden,"American drummer (Jefferson Airplane, New Riders of the Purple Sage, The Dinosaurs, and The Peanut Butter Conspiracy)",67,Freddie Hubbard,American trumpet player and composer,70
Francis Ford Coppola,"American director, producer, an",1939 -,David Frost,English journalist and game show host,74,Gary Kellgren,"American record producer, co-founded Record Plant",38
Vaçe Zela,Albanian-Swiss singer and guitarist,75,Marju Lauristin,"Estonian academic and politician, 1st Estonian Minister of Socia",1940 -,James Di Pasquale,America,1941 -
Cornelia Frances,English-Australian actress and game sho,1941 -,Jeetendra,Indian actor an,1942 -,Nam Gi-nam,South Korean director an,1942 -
Dennis Amiss,English cricketer an,1943 -,Warner Fusselle,American sportscaster,68,Julia Phillips,American film producer and author,58
Bill Stoneman,American baseball player an,1944 -,Megas,Icelandi,1945 -,Gerry Cottle,Englis,1945 -
Martyn Lewis,Welsh journalist an,1945 -,Joël Robuchon,French chef an,1945 -,Werner Schroeter,German director and screenwriter,65
Zaid Abdul-Aziz,American basketbal,1946 -,Colette Besson,French runner and educator,59,Herménégilde Chiasson,"Canadian poet, playwright, and politician, 29th Lieutenant Governor of Ne",1946 -
Patricia Bennett,American singer (Th,1947 -,Florian Schneider,German singer and drummer (Kraftwerk an,1947 -,Eliseo Soriano,Filipino minister and televisio,1947 -
Mitch Daniels,"American academic and politician, 49th Governor o",1949 -,John Oates,"American singer-songwriter guitarist, and producer (Hall",1949 -,Brian J. Doyle,American pres,1950 -
Janis Ian,American singer-songwriter an,1951 -,David Baulcombe,English geneticist an,1952 -,Jane Frederick,American hurdler an,1952 -
Dennis Hayden,America,1952 -,Fatih Erkoç,Turkis,1953 -,Douglas Kell English biochemist an,,1953 -
Tony Dorsett,American footbal,1954 -,Tim Cochran,American mathematician and academic,59,Gregg Jarrett,American lawyer an,1955 -
Christopher Darden,American lawyer an,1956 -,Georg Werthner,Austria,1956 -,Kim Kap-soo,South Korea,1957 -
Hindrek Kesler,Estonia,1958 -,Buster Douglas,American boxer an,1960 -,Sandy Powell,English costum,1960 -
Pascal Olmeta,Frenc,1961 -,Brigitte van der Burg,Tanzanian-Dutch geographer an,1961 -,Jon Cruddas,English lawyer an,1962 -
Hugh O'Connor,American actor,33,Jaime de Marichalar,Spanis,1963 -,Nick Herbert,"English businessman and politician, Minister fo",1963 -
Jace Alexander,American actor an,1964 -,Russell Crowe,"New Zealand-Australian actor, singer, director, an",1964 -,Steve Graves,Canadian ice hocke,1964 -
Alison Lapper,English painter an,1965 -,Nenad Vučinić,Serbian-New Zealand basketball player an,1965 -,Richard Gomez,Filipino actor an,1966 -
Artemis Gounaki,Greek-Germa,1967 -,Simone Schilder,Dutch tenni,1967 -,Duncan Armstrong,Australian swimmer an,1968 -
Vasiliy Sokov,Russian tripl,1968 -,Ricky Watters,American footbal,1969 -,Leif Ove Andsnes,Norwegian pianist an,1970 -
Victor Kraatz,German-Canadian figur,1971 -,Jennifer Schwalbach Smith,American journalist an,1971 -,Shingo Katsurayama,Japanes,1972 -
Marco Delvecchio,Italia,1973 -,Jeanine Hennis-Plasschaert,"Dutch lawyer and politician, Dutch Minister o",1973 -,Carole Montillet,Frenc,1973 -
Brett Tomko,American basebal,1973 -,Karin Dreijer Andersson,Swedish singer-songwriter and producer (The Knife and Honey I,1975 -,Ronde Barber,American football player an,1975 -
Ronnie Belliard,American basebal,1975 -,John Cooper,American singer-songwriter and bass playe,1975 -,Simon Woolford,Australian rugby leagu,1975 -
Martin Buß,German hig,1976 -,Jessica Lee,English lawyer an,1976 -,Barbara Jane Reams,America,1976 -
Duncan James,English singer-songwriter and acto,1978 -,Lilia Osterloh,American tenni,1978 -,Adrián Beltré,Dominican-American basebal,1979 -
Pascal Dupuis,Canadian ice hocke,1979 -,Danny Sandoval,Venezuelan-American basebal,1979 -,Dragan Bogavac,Montenegri,1980 -
Hitoe Arakaki,Japanese singe,1981 -,Vanessa Olivarez,"American singer-songwriter, an",1981 -,Suzann Pettersen,Norwegia,1981 -
Silvana Arias,Peruvia,1982 -,Sonjay Dutt,America,1982 -,Franck Ribéry,Frenc,1983 -
Jakub Smrž,Czech motorcycl,1983 -,Janar Talts,Estonian basketbal,1983 -,Hiroko Shimabukuro,Japanese singe,1984 -
